"country","AverageMenShoeSize","AverageWomenShoeSize"
"India",8,5
"China",9,6
"United States",10,7
"Indonesia",9,5.5
"Pakistan",9,5.5
"Nigeria",9.5,6
"Brazil",9.5,6.5
"Bangladesh",8.5,5.5
"Russia",10,7
"Ethiopia",9.5,6
"Mexico",9,6
"Japan",9,5.5
"Egypt",9.5,6
"Philippines",9,5.5
"DR Congo",9.5,6
"Vietnam",9,5.5
"Iran",9.5,6
"Turkey",10,6.5
"Germany",10.5,7
"Thailand",9,5.5
"United Kingdom",10,6.5
"Tanzania",9.5,6
"France",10,6.5
"South Africa",9.5,6
"Italy",9.5,6.5
"Kenya",9.5,6
"Myanmar",9,5.5
"Colombia",9,6
"South Korea",9,5.5
"Sudan",9.5,6
"Uganda",9.5,6
"Spain",10,6.5
"Algeria",9.5,6
"Iraq",9.5,6
"Argentina",9.5,6
"Afghanistan",9.5,6
"Yemen",9.5,6
"Canada",10,7
"Poland",10,7
"Morocco",9.5,6
"Angola",9.5,6
"Ukraine",10,6.5
"Uzbekistan",10,6.5
"Malaysia",9,5.5
"Mozambique",9.5,6
"Ghana",9.5,6
"Peru",9.5,6
"Saudi Arabia",9.5,6
"Madagascar",9.5,6
"Ivory Coast",9.5,6
"Nepal",9,5.5
"Cameroon",9.5,6
"Venezuela",9.5,6
"Niger",9.5,6
"North Korea",9,5.5
"Syria",9.5,6
"Mali",9.5,6
"Burkina Faso",9.5,6
"Taiwan",9,5.5
"Sri Lanka",9,5.5
"Malawi",9.5,6
"Zambia",9.5,6
"Kazakhstan",10,6.5
"Chad",9.5,6
"Chile",9.5,6
"Romania",10,6.5
"Somalia",9.5,6
"Senegal",9.5,6
"Guatemala",9.5,6
"Netherlands",10,6.5
"Ecuador",9,6
"Cambodia",9,5.5
"Zimbabwe",9.5,6
"Guinea",9.5,6
"Benin",9.5,6
"Rwanda",9.5,6
"Burundi",9.5,6
"Bolivia",9.5,6
"Tunisia",9.5,6
"South Sudan",9.5,6
"Belgium",10,6.5
"Jordan",9.5,6
"Dominican Republic",9.5,6
"United Arab Emirates",9.5,6
"Cuba",9.5,6
"Honduras",9.5,6
"Czech Republic",10,6.5
"Sweden",10,6.5
"Tajikistan",10,6.5
"Portugal",10,6.5
"Azerbaijan",10,6.5
"Greece",10,6.5
"Hungary",10,6.5
"Togo",9.5,6
"Israel",10,6.5
"Austria",10.5,7
"Belarus",10,7
"Switzerland",10,6.5
"Sierra Leone",9.5,6
"Laos",9,5.5
"Turkmenistan",10,6.5
"Libya",9.5,6
"Kyrgyzstan",10,6.5
"Paraguay",9.5,6
"Nicaragua",9.5,6
"Bulgaria",10,6.5
"Serbia",10,6.5
"El Salvador",9.5,6
"Republic of the Congo",9.5,6
"Denmark",10,6.5
"Singapore",9,5.5
"Lebanon",9.5,6
"Finland",10,6.5
"Liberia",9.5,6
"Norway",10,6.5
"Slovakia",10,6.5
"Central African Republic",9.5,6
"Oman",9.5,6
"Ireland",10,6.5
"Mauritania",9.5,6
"Costa Rica",9.5,6
"Kuwait",9.5,6
"Panama",9.5,6
"Croatia",10,6.5
"Georgia",10,6.5
"Mongolia",10,6.5
"Uruguay",10,6.5
"Bosnia and Herzegovina",10,6.5
"Qatar",9.5,6
"Moldova",10,6.5
"Namibia",9.5,6
"Armenia",10,6.5
"Lithuania",10,6.5
"Jamaica",9.5,6
"Albania",10,7
"Gabon",9.5,6
"Slovenia",10,6.5
"Latvia",10,6.5
"North Macedonia",10,6.5
"Bahrain",9.5,6
"Timor-Leste",9,5.5
"Estonia",10,6.5
"Cyprus",9.5,6
"Mauritius",9.5,6
"Guyana",9.5,6
"Bhutan",9,5.5
"Luxembourg",10,6.5
"Montenegro",10,6.5
"Suriname",9.5,6
"Malta",9.5,6
"Maldives",9,5.5
"Brunei",9,5.5
"Belize",9.5,6
"Bahamas",9.5,6
"Iceland",10,6.5
"Barbados",9.5,6
"Andorra",10,6.5
"Liechtenstein",10,6.5
"Monaco",10,6.5
"San Marino",10,6.5
"Vatican City",10,6.5